RegionID,SizeRank,RegionNames,RegionType,StateName,11/30/2023
394913,1,New York - NY,msa,NY,739883.5444
753899,2,Los Angeles - CA,msa,CA,1109704.342
394463,3,Chicago - IL,msa,IL,421209.5803
394514,4,Dallas - TX,msa,TX,473774.7552
394692,5,Houston - TX,msa,TX,364595.9913
395209,6,Washington - DC,msa,VA,673032.0649
394974,7,Philadelphia - PA,msa,PA,515905.7601
394856,8,Miami - FL,msa,FL,700848.2448
394347,9,Atlanta - GA,msa,GA,434999.46
394404,10,Boston - MA,msa,MA,846094.15
394976,11,Phoenix - AZ,msa,AZ,528264.6535
395057,12,San Francisco - CA,msa,CA,1455795.795
395025,13,Riverside - CA,msa,CA,642394.6894
394532,14,Detroit - MI,msa,MI,406416.3185
395078,15,Seattle - WA,msa,WA,874757.7736
394865,16,Minneapolis - MN,msa,MN,436154.6441
395056,17,San Diego - CA,msa,CA,1079708.809
395148,18,Tampa - FL,msa,FL,490890.0262
394530,19,Denver - CO,msa,CO,663331.2424
394358,20,Baltimore - MD,msa,MD,510030.8046
395121,21,St. Louis - MO,msa,MO,378857.3171
394943,22,Orlando - FL,msa,FL,479864.2611
394458,23,Charlotte - NC,msa,NC,501209.213
395055,24,San Antonio - TX,msa,TX,357685.7813
394998,25,Portland - OR,msa,OR,647014.7215
395045,26,Sacramento - CA,msa,CA,653957.6559
394982,27,Pittsburgh - PA,msa,PA,358003.422
394466,28,Cincinnati - OH,msa,OH,386861.6238
394355,29,Austin - TX,msa,TX,530167.5003
394775,30,Las Vegas - NV,msa,NV,475488.6999
394735,31,Kansas City - MO,msa,MO,410741.7053
394492,32,Columbus - OH,msa,OH,417461.775
394705,34,Indianapolis - IN,msa,IN,368897.0594
394475,35,Cleveland - OH,msa,OH,322408.2783
395059,36,San Jose - CA,msa,CA,1751330.803
394902,37,Nashville - TN,msa,TN,625610.3446
395194,38,Virginia Beach - VA,msa,VA,428391.0067
395005,39,Providence - RI,msa,RI,596345.4
394714,40,Jacksonville - FL,msa,FL,443864.0321
394862,41,Milwaukee - WI,msa,WI,400355.2578
394935,42,Oklahoma City - OK,msa,OK,338127.5511
395012,43,Raleigh - NC,msa,NC,544307.5817
394849,44,Memphis - TN,msa,TN,353402.387
395022,45,Richmond - VA,msa,VA,426600.349
394807,46,Louisville - KY,msa,KY,365771.5259
394910,47,New Orleans - LA,msa,LA,317458.806
395053,48,Salt Lake City - UT,msa,UT,555302.8389
394669,49,Hartford - CT,msa,CT,453698.4175
394425,50,Buffalo - NY,msa,NY,322759.6365
394388,51,Birmingham - AL,msa,AL,383308.0711
395031,52,Rochester - NY,msa,NY,296143.6047
394640,53,Grand Rapids - MI,msa,MI,370070.1994
395167,54,Tucson - AZ,msa,AZ,416636.8063
753924,55,Urban Honolulu - HI,msa,HI,1150673.215
395169,56,Tulsa - OK,msa,OK,336364.2293
394619,57,Fresno - CA,msa,CA,478451.701
395238,58,Worcester - MA,msa,MA,574233.5508
394938,59,Omaha - NE,msa,NE,383455.2556
394415,60,Bridgeport - CT,msa,CT,818018.9353
394653,61,Greenville - SC,msa,SC,410674.9884
394312,62,Albuquerque - NM,msa,NM,410844.0735
394357,63,Bakersfield - CA,msa,CA,412618.5293
394308,64,Albany - NY,msa,NY,395202.3611
394753,65,Knoxville - TN,msa,TN,497757.9135
394367,66,Baton Rouge - LA,msa,LA,338707.1505
394843,67,McAllen - TX,msa,TX,283948.6931
394908,68,New Haven - CT,msa,CT,497755.7342
394561,69,El Paso - TX,msa,TX,270333.3783
394318,70,Allentown - PA,msa,PA,432498.68
394952,71,Oxnard - CA,msa,CA,939883.3728
394486,72,Columbia - SC,msa,SC,323355.2713
753906,73,North Port - FL,msa,FL,665288.2463
394457,75,Charleston - SC,msa,SC,514590.7127
394648,76,Greensboro - NC,msa,NC,390499.5543
395134,77,Stockton - CA,msa,CA,625165.3294
394440,78,Cape Coral - FL,msa,FL,528063.7524
394399,79,Boise City - ID,msa,ID,521112.4121
394484,80,Colorado Springs - CO,msa,CO,496907.8615
394798,81,Little Rock - AR,msa,AR,322748.5858
394766,82,Lakeland - FL,msa,FL,365857.615
394304,83,Akron - OH,msa,OH,330370.6045
394531,84,Des Moines - IA,msa,IA,371791.2309
395115,85,Springfield - MA,msa,MA,403396.556
394931,87,Ogden - UT,msa,UT,478404.6047
394816,88,Madison - WI,msa,WI,482841.0372
395235,89,Winston - NC,msa,NC,375988.2824
394528,90,Deltona - FL,msa,FL,416916.0819
395143,91,Syracuse - NY,msa,NY,279241.5412
395006,92,Provo - UT,msa,UT,531518.6407
395160,93,Toledo - OH,msa,OH,282793.3536
395224,94,Wichita - KS,msa,KS,271885.73
394549,95,Durham - NC,msa,NC,571708.4861
394352,96,Augusta - GA,msa,GA,321636.0098
394957,97,Palm Bay - FL,msa,FL,474595.2866
394711,98,Jackson - MS,msa,MS,340244.9538
394666,99,Harrisburg - PA,msa,PA,385584.4973
395113,100,Spokane - WA,msa,WA,454330.1418
395075,101,Scranton - PA,msa,PA,263596.4847
394460,102,Chattanooga - TN,msa,TN,427696.786
394871,103,Modesto - CA,msa,CA,519395.4105
394768,104,Lancaster - PA,msa,PA,418430.2056
394997,105,Portland - ME,msa,ME,640341.0598
395245,106,Youngstown - OH,msa,OH,217185.4221
394770,107,Lansing - MI,msa,MI,295552.7951
394590,108,Fayetteville - AR,msa,AR,440380.2891
394589,109,Fayetteville - NC,msa,NC,324894.3331
394792,110,Lexington - KY,msa,KY,385574.457
394971,111,Pensacola - FL,msa,FL,399467.0747
395068,112,Santa Rosa - CA,msa,CA,895471.1959
395019,113,Reno - NV,msa,NV,625731.7569
394698,114,Huntsville - AL,msa,AL,399728.7087
394995,115,Port St. Lucie - FL,msa,FL,483254.2734
394761,116,Lafayette - LA,msa,LA,322358.5958
